county,year,asthma_rate,D_Rural,,,,county,year,asthma_rate,D_Rural,,,Year,RuralAvgRate,UrbanAvgRate
Wayne,2009,10.3,1,,,,,,,,,,,,
Wyoming,2009,23.6,1,,,,,,,,,,,,
Cameron,2009,NA,1,,,,,,,,,,,,
Clarion,2009,9.7,1,,,,,,,,,,,,
Clinton,2009,9.1,1,,,,,,,,,,,,
Forest,2009,NA,1,,,,,,,,,,,,
Fulton,2009,NA,1,,,,,,,,,,,,
Juniata,2009,9.4,1,,,,,,,,,,,,
Montour,2009,15,1,,,,,,,,,,,,
Perry,2009,5.8,1,,,,,,,,,,,,
Pike,2009,6.2,1,,,,,,,,,,,,
Potter,2009,NA,1,,,,,,,,,,,,
Snyder,2009,NA,1,,,,,,,,,,,,
Sullivan,2009,NA,1,,,,,,,,,,,,
Tioga,2009,5.8,1,,,,,,,,,,,,
Union,2009,NA,1,,,,,,,,,,,,
Warren,2009,NA,1,,,,,,,,,,,,
Adams,2010,5.6,1,,,,,,,,,,,,
Armstrong,2010,13,1,,,,,,,,,,,,
Bedford,2010,6.6,1,,,,,,,,,,,,
Blair,2010,6.1,1,,,,,,,,,,,,
Bradford,2010,6.3,1,,,,,,,,,,,,
Butler,2010,9.4,1,,,,,,,,,,,,
Cambria,2010,11.3,1,,,,,,,,,,,,
Carbon,2010,14.2,1,,,,,,,,,,,,
Centre,2010,5.6,1,,,,,,,,,,,,
Clearfield,2010,11.2,1,,,,,,,,,,,,
Columbia,2010,12,1,,,,,,,,,,,,
Crawford,2010,10.3,1,,,,,,,,,,,,
Elk,2010,10.8,1,,,,,,,,,,,,
Fayette,2010,19.1,1,,,,,,,,,,,,
Franklin,2010,4.8,1,,,,,,,,,,,,
Greene,2010,16.6,1,,,,,,,,,,,,
Huntingdon,2010,9.2,1,,,,,,,,,,,,
Indiana,2010,15.4,1,,,,,,,,,,,,
Jefferson,2010,12.4,1,,,,,,,,,,,,
Lawrence,2010,24.4,1,,,,,,,,,,,,
Lycoming,2010,7.9,1,,,,,,,,,,,,
McKean,2010,6.1,1,,,,,,,,,,,,
Mercer,2010,11.7,1,,,,,,,,,,,,
Mifflin,2010,12.4,1,,,,,,,,,,,,
Monroe,2010,14.8,1,,,,,,,,,,,,
Northumberland,2010,5.9,1,,,,,,,,,,,,
Schuylkill,2010,13.1,1,,,,,,,,,,,,
Somerset,2010,7,1,,,,,,,,,,,,
Susquehanna,2010,11.7,1,,,,,,,,,,,,
Venango,2010,11.6,1,,,,,,,,,,,,
Washington,2010,14.1,1,,,,,,,,,,,,
Wayne,2010,6.5,1,,,,,,,,,,,,
Wyoming,2010,12.2,1,,,,,,,,,,,,
Cameron,2010,NA,1,,,,,,,,,,,,
Clarion,2010,7.6,1,,,,,,,,,,,,
Clinton,2010,6.8,1,,,,,,,,,,,,
Forest,2010,NA,1,,,,,,,,,,,,
Fulton,2010,NA,1,,,,,,,,,,,,
Juniata,2010,7.6,1,,,,,,,,,,,,
Montour,2010,NA,1,,,,,,,,,,,,
Perry,2010,NA,1,,,,,,,,,,,,
Pike,2010,4.4,1,,,,,,,,,,,,
Potter,2010,NA,1,,,,,,,,,,,,
Snyder,2010,NA,1,,,,,,,,,,,,
Sullivan,2010,NA,1,,,,,,,,,,,,
Tioga,2010,NA,1,,,,,,,,,,,,
Union,2010,4.6,1,,,,,,,,,,,,
Warren,2010,7,1,,,,,,,,,,,,
Adams,2011,4.9,1,,,,,,,,,,,,
Armstrong,2011,11.2,1,,,,,,,,,,,,
Bedford,2011,4.6,1,,,,,,,,,,,,
Blair,2011,6.6,1,,,,,,,,,,,,
Bradford,2011,7,1,,,,,,,,,,,,
Butler,2011,9.5,1,,,,,,,,,,,,
Cambria,2011,10.8,1,,,,,,,,,,,,
Carbon,2011,13.9,1,,,,,,,,,,,,
Centre,2011,8.4,1,,,,,,,,,,,,
Clearfield,2011,10.1,1,,,,,,,,,,,,
Columbia,2011,14.8,1,,,,,,,,,,,,
Crawford,2011,9.8,1,,,,,,,,,,,,
Elk,2011,12.3,1,,,,,,,,,,,,
Fayette,2011,18.5,1,,,,,,,,,,,,
Franklin,2011,6.3,1,,,,,,,,,,,,
Greene,2011,19.2,1,,,,,,,,,,,,
Huntingdon,2011,9.2,1,,,,,,,,,,,,
Indiana,2011,14.3,1,,,,,,,,,,,,
Jefferson,2011,7.1,1,,,,,,,,,,,,
Lawrence,2011,19.2,1,,,,,,,,,,,,
Lycoming,2011,6.3,1,,,,,,,,,,,,
McKean,2011,8.2,1,,,,,,,,,,,,
Mercer,2011,8.7,1,,,,,,,,,,,,
Mifflin,2011,10.2,1,,,,,,,,,,,,
Monroe,2011,12.1,1,,,,,,,,,,,,
Northumberland,2011,7.4,1,,,,,,,,,,,,
Schuylkill,2011,12.2,1,,,,,,,,,,,,
Somerset,2011,8.7,1,,,,,,,,,,,,
Susquehanna,2011,9.5,1,,,,,,,,,,,,
Venango,2011,11.8,1,,,,,,,,,,,,
Washington,2011,12,1,,,,,,,,,,,,
Wayne,2011,6.8,1,,,,,,,,,,,,
Wyoming,2011,14.2,1,,,,,,,,,,,,
Cameron,2011,NA,1,,,,,,,,,,,,
Clarion,2011,NA,1,,,,,,,,,,,,
Clinton,2011,8.6,1,,,,,,,,,,,,
Forest,2011,NA,1,,,,,,,,,,,,
Fulton,2011,NA,1,,,,,,,,,,,,
Juniata,2011,NA,1,,,,,,,,,,,,
Montour,2011,NA,1,,,,,,,,,,,,
Perry,2011,5.8,1,,,,,,,,,,,,
Pike,2011,4,1,,,,,,,,,,,,
Potter,2011,NA,1,,,,,,,,,,,,
Snyder,2011,NA,1,,,,,,,,,,,,
Sullivan,2011,NA,1,,,,,,,,,,,,
Tioga,2011,4.4,1,,,,,,,,,,,,
Union,2011,NA,1,,,,,,,,,,,,
Warren,2011,5.3,1,,,,,,,,,,,,
Adams,2012,4.3,1,,,,,,,,,,,,
Armstrong,2012,9,1,,,,,,,,,,,,
Bedford,2012,3.2,1,,,,,,,,,,,,
Blair,2012,7.6,1,,,,,,,,,,,,
Bradford,2012,8.1,1,,,,,,,,,,,,
Butler,2012,7.5,1,,,,,,,,,,,,
Cambria,2012,10.9,1,,,,,,,,,,,,
Carbon,2012,13.7,1,,,,,,,,,,,,
Centre,2012,5.6,1,,,,,,,,,,,,
Clearfield,2012,8.6,1,,,,,,,,,,,,
Columbia,2012,12.2,1,,,,,,,,,,,,
Crawford,2012,9.1,1,,,,,,,,,,,,
Elk,2012,9.8,1,,,,,,,,,,,,
Fayette,2012,14.9,1,,,,,,,,,,,,
Franklin,2012,5.3,1,,,,,,,,,,,,
Greene,2012,13.6,1,,,,,,,,,,,,
Huntingdon,2012,6.3,1,,,,,,,,,,,,
Indiana,2012,12.3,1,,,,,,,,,,,,
Jefferson,2012,7,1,,,,,,,,,,,,
Lawrence,2012,18.7,1,,,,,,,,,,,,
Lycoming,2012,5.9,1,,,,,,,,,,,,
McKean,2012,8,1,,,,,,,,,,,,
Mercer,2012,7.1,1,,,,,,,,,,,,
Mifflin,2012,10.3,1,,,,,,,,,,,,
Monroe,2012,10.7,1,,,,,,,,,,,,
Northumberland,2012,6.8,1,,,,,,,,,,,,
Schuylkill,2012,8.3,1,,,,,,,,,,,,
Somerset,2012,6.8,1,,,,,,,,,,,,
Susquehanna,2012,9.8,1,,,,,,,,,,,,
Venango,2012,11.2,1,,,,,,,,,,,,
Washington,2012,10.1,1,,,,,,,,,,,,
Wayne,2012,7.4,1,,,,,,,,,,,,
Wyoming,2012,12.8,1,,,,,,,,,,,,
Cameron,2012,NA,1,,,,,,,,,,,,
Clarion,2012,5.1,1,,,,,,,,,,,,
Clinton,2012,NA,1,,,,,,,,,,,,
Forest,2012,NA,1,,,,,,,,,,,,
Fulton,2012,NA,1,,,,,,,,,,,,
Juniata,2012,NA,1,,,,,,,,,,,,
Montour,2012,NA,1,,,,,,,,,,,,
Perry,2012,4.9,1,,,,,,,,,,,,
Pike,2012,NA,1,,,,,,,,,,,,
Potter,2012,NA,1,,,,,,,,,,,,
Snyder,2012,NA,1,,,,,,,,,,,,
Sullivan,2012,NA,1,,,,,,,,,,,,
Tioga,2012,6.7,1,,,,,,,,,,,,
Union,2012,5.5,1,,,,,,,,,,,,
Warren,2012,5.1,1,,,,,,,,,,,,
Adams,2013,4.8,1,,,,,,,,,,,,
Armstrong,2013,6.2,1,,,,,,,,,,,,
Bedford,2013,5.4,1,,,,,,,,,,,,
Blair,2013,7,1,,,,,,,,,,,,
Bradford,2013,5.4,1,,,,,,,,,,,,
Butler,2013,6.5,1,,,,,,,,,,,,
Cambria,2013,8.1,1,,,,,,,,,,,,
Carbon,2013,12.1,1,,,,,,,,,,,,
Centre,2013,6,1,,,,,,,,,,,,
Clearfield,2013,6.9,1,,,,,,,,,,,,
Columbia,2013,9.7,1,,,,,,,,,,,,
Crawford,2013,9.1,1,,,,,,,,,,,,
Elk,2013,10.9,1,,,,,,,,,,,,
Fayette,2013,16.5,1,,,,,,,,,,,,
Franklin,2013,4.2,1,,,,,,,,,,,,
Greene,2013,12,1,,,,,,,,,,,,
Huntingdon,2013,5,1,,,,,,,,,,,,
Indiana,2013,13.7,1,,,,,,,,,,,,
Jefferson,2013,8,1,,,,,,,,,,,,
Lawrence,2013,13,1,,,,,,,,,,,,
Lycoming,2013,5.5,1,,,,,,,,,,,,
McKean,2013,6,1,,,,,,,,,,,,
Mercer,2013,8.9,1,,,,,,,,,,,,
Mifflin,2013,6.3,1,,,,,,,,,,,,
Monroe,2013,9.4,1,,,,,,,,,,,,
Northumberland,2013,7,1,,,,,,,,,,,,
Schuylkill,2013,8.8,1,,,,,,,,,,,,
Somerset,2013,5,1,,,,,,,,,,,,
Susquehanna,2013,7.9,1,,,,,,,,,,,,
Venango,2013,15.6,1,,,,,,,,,,,,
Washington,2013,9.6,1,,,,,,,,,,,,
Wayne,2013,4.8,1,,,,,,,,,,,,
Wyoming,2013,10,1,,,,,,,,,,,,
Cameron,2013,NA,1,,,,,,,,,,,,
Clarion,2013,4.3,1,,,,,,,,,,,,
Clinton,2013,5.2,1,,,,,,,,,,,,
Forest,2013,NA,1,,,,,,,,,,,,
Fulton,2013,NA,1,,,,,,,,,,,,
Juniata,2013,NA,1,,,,,,,,,,,,
Montour,2013,NA,1,,,,,,,,,,,,
Perry,2013,6.4,1,,,,,,,,,,,,
Pike,2013,NA,1,,,,,,,,,,,,
Potter,2013,NA,1,,,,,,,,,,,,
Snyder,2013,NA,1,,,,,,,,,,,,
Sullivan,2013,NA,1,,,,,,,,,,,,
Tioga,2013,6,1,,,,,,,,,,,,
Union,2013,NA,1,,,,,,,,,,,,
Warren,2013,4.2,1,,,,,,,,,,,,
Adams,2014,4.9,1,,,,,,,,,,,,
Armstrong,2014,4.7,1,,,,,,,,,,,,
Bedford,2014,5.5,1,,,,,,,,,,,,
Blair,2014,5.7,1,,,,,,,,,,,,
Bradford,2014,8.1,1,,,,,,,,,,,,
Butler,2014,7.4,1,,,,,,,,,,,,
Cambria,2014,8.6,1,,,,,,,,,,,,
Carbon,2014,11.6,1,,,,,,,,,,,,
Centre,2014,5.6,1,,,,,,,,,,,,
Clearfield,2014,6.5,1,,,,,,,,,,,,
Columbia,2014,6.7,1,,,,,,,,,,,,
Crawford,2014,5.8,1,,,,,,,,,,,,
Elk,2014,9.2,1,,,,,,,,,,,,
Fayette,2014,15.7,1,,,,,,,,,,,,
Franklin,2014,6.1,1,,,,,,,,,,,,
Greene,2014,13.2,1,,,,,,,,,,,,
Huntingdon,2014,4.2,1,,,,,,,,,,,,
Indiana,2014,10.8,1,,,,,,,,,,,,
Jefferson,2014,7,1,,,,,,,,,,,,
Lawrence,2014,15.7,1,,,,,,,,,,,,
Lycoming,2014,6.7,1,,,,,,,,,,,,
McKean,2014,9.9,1,,,,,,,,,,,,
Mercer,2014,8.8,1,,,,,,,,,,,,
Mifflin,2014,5.7,1,,,,,,,,,,,,
Monroe,2014,11,1,,,,,,,,,,,,
Northumberland,2014,6.7,1,,,,,,,,,,,,
Schuylkill,2014,6.5,1,,,,,,,,,,,,
Somerset,2014,5.6,1,,,,,,,,,,,,
Susquehanna,2014,8,1,,,,,,,,,,,,
Venango,2014,11.4,1,,,,,,,,,,,,
Washington,2014,8.9,1,,,,,,,,,,,,
Wayne,2014,6.7,1,,,,,,,,,,,,
Wyoming,2014,10,1,,,,,,,,,,,,
Cameron,2014,NA,1,,,,,,,,,,,,
Clarion,2014,NA,1,,,,,,,,,,,,
Clinton,2014,6.9,1,,,,,,,,,,,,
Forest,2014,NA,1,,,,,,,,,,,,
Fulton,2014,NA,1,,,,,,,,,,,,
Juniata,2014,NA,1,,,,,,,,,,,,
Montour,2014,NA,1,,,,,,,,,,,,
Perry,2014,6.8,1,,,,,,,,,,,,
Pike,2014,6.9,1,,,,,,,,,,,,
Potter,2014,NA,1,,,,,,,,,,,,
Snyder,2014,NA,1,,,,,,,,,,,,
Sullivan,2014,NA,1,,,,,,,,,,,,
Tioga,2014,5.9,1,,,,,,,,,,,,
Union,2014,NA,1,,,,,,,,,,,,
Warren,2014,5.3,1,,,,,,,,,,,,
