county,year,asthma_rate,D_Rural,,,,county,year,asthma_rate,D_Rural,,,Year,RuralAvgRate,UrbanAvgRate
Forest,2002,NA,1,,,,Erie,2005,11.2,0,,,,,
Fulton,2002,NA,1,,,,Lackawanna,2005,16.8,0,,,,,
Juniata,2002,12.9,1,,,,Lancaster,2005,9.6,0,,,,,
Montour,2002,NA,1,,,,Lebanon,2005,7,0,,,,,
Perry,2002,8.8,1,,,,Lehigh,2005,15.6,0,,,,,
Pike,2002,7.1,1,,,,Luzerne,2005,16.8,0,,,,,
Potter,2002,NA,1,,,,Montgomery,2005,12.8,0,,,,,
Snyder,2002,NA,1,,,,Northampton,2005,14.9,0,,,,,
Sullivan,2002,NA,1,,,,Philadelphia,2005,48.2,0,,,,,
Tioga,2002,6.5,1,,,,Westmoreland,2005,21.2,0,,,,,
Union,2002,NA,1,,,,York,2005,7.8,0,,,,,
Warren,2002,5.4,1,,,,Allegheny,2006,20.1,0,,,,,
Adams,2003,13.8,1,,,,Beaver,2006,18.8,0,,,,,
Armstrong,2003,13.6,1,,,,Berks,2006,15,0,,,,,
Bedford,2003,7.4,1,,,,Bucks,2006,13.4,0,,,,,
Blair,2003,10.3,1,,,,Chester,2006,8.3,0,,,,,
Bradford,2003,9.3,1,,,,Cumberland,2006,8.5,0,,,,,
Butler,2003,10.2,1,,,,Dauphin,2006,11.6,0,,,,,
Cambria,2003,12.4,1,,,,Delaware,2006,20.7,0,,,,,
Carbon,2003,22.6,1,,,,Erie,2006,9.7,0,,,,,
Centre,2003,11.5,1,,,,Lackawanna,2006,15.1,0,,,,,
Clearfield,2003,15,1,,,,Lancaster,2006,8.8,0,,,,,
Columbia,2003,18.6,1,,,,Lebanon,2006,8,0,,,,,
Crawford,2003,15.7,1,,,,Lehigh,2006,12.8,0,,,,,
Elk,2003,13.6,1,,,,Luzerne,2006,17.9,0,,,,,
Fayette,2003,21.8,1,,,,Montgomery,2006,12.7,0,,,,,
Franklin,2003,11.2,1,,,,Northampton,2006,17.3,0,,,,,
Greene,2003,14.5,1,,,,Philadelphia,2006,52.9,0,,,,,
Huntingdon,2003,18.3,1,,,,Westmoreland,2006,20.4,0,,,,,
Indiana,2003,16.4,1,,,,York,2006,7.7,0,,,,,
Jefferson,2003,12.7,1,,,,Allegheny,2007,19.8,0,,,,,
Lawrence,2003,28.2,1,,,,Beaver,2007,15.4,0,,,,,
Lycoming,2003,10.5,1,,,,Berks,2007,14.2,0,,,,,
McKean,2003,15.5,1,,,,Bucks,2007,13.4,0,,,,,
Mercer,2003,14.2,1,,,,Chester,2007,8,0,,,,,
Mifflin,2003,20.7,1,,,,Cumberland,2007,7.4,0,,,,,
Monroe,2003,16.9,1,,,,Dauphin,2007,11.8,0,,,,,
Northumberland,2003,11.9,1,,,,Delaware,2007,19.6,0,,,,,
Schuylkill,2003,17.8,1,,,,Erie,2007,7.7,0,,,,,
Somerset,2003,12.2,1,,,,Lackawanna,2007,15.6,0,,,,,
Susquehanna,2003,20.5,1,,,,Lancaster,2007,7.9,0,,,,,
Venango,2003,19.4,1,,,,Lebanon,2007,7.7,0,,,,,
Washington,2003,19.3,1,,,,Lehigh,2007,12,0,,,,,
Wayne,2003,8.4,1,,,,Luzerne,2007,15.5,0,,,,,
Wyoming,2003,15.2,1,,,,Montgomery,2007,12.2,0,,,,,
Cameron,2003,NA,1,,,,Northampton,2007,14.9,0,,,,,
Clarion,2003,19,1,,,,Philadelphia,2007,53.3,0,,,,,
Clinton,2003,7.4,1,,,,Westmoreland,2007,18.9,0,,,,,
Forest,2003,NA,1,,,,York,2007,6.4,0,,,,,
Fulton,2003,NA,1,,,,Allegheny,2008,21.2,0,,,,,
Juniata,2003,9.7,1,,,,Beaver,2008,19.4,0,,,,,
Montour,2003,NA,1,,,,Berks,2008,14.8,0,,,,,
Perry,2003,11,1,,,,Bucks,2008,12.7,0,,,,,
Pike,2003,9.2,1,,,,Chester,2008,7.9,0,,,,,
Potter,2003,13.6,1,,,,Cumberland,2008,7,0,,,,,
